id,found,title,primary_category_code,all_category_codes,higher_level_primary,lower_level_primary,error
0908.0117,True,Tidal effects in the vicinity of a black hole,astro-ph.HE,astro-ph.HE;astro-ph.GA,Astrophysics,HE,
0908.0155,True,2-Dimensional Dipolar Scattering,physics.atom-ph,physics.atom-ph,Physics,atom ph,
0908.0159,False,,,,,,not found in API response
0908.0260,True,Universal Probability Distribution Function for Bursty Transport in Plasma Turbulence,physics.plasm-ph,physics.plasm-ph,Physics,plasm ph,
0908.0304,False,,,,,,not found in API response
0908.0314,True,Chern-Simons current and local parity violation in hot QCD matter,hep-ph,hep-ph;nucl-ex;nucl-th,High Energy Physics - Phenomenology,,
0908.0219,True,Critical Dimension for Stable Self-gravitating Stars in AdS,gr-qc,gr-qc,gr-qc,,
0908.0180,False,,,,,,not found in API response
1908.00040,False,,,,,,not found in API response
1908.00186,False,,,,,,not found in API response
1908.00372,True,Assessment of low-altitude atmospheric turbulence models for aircraft aeroelasticity,physics.flu-dyn,physics.flu-dyn,Physics,flu dyn,
1908.00596,False,,,,,,not found in API response
1908.00647,False,,,,,,not found in API response
1908.00778,True,A Structural Graph-Based Method for MRI Analysis,cs.CV,cs.CV,Computer Science,CV,
1908.01025,True,Theoretical prediction of a highly responsive material: Spin fluctuations and superconductivity in FeNiB2 system,cond-mat.mtrl-sci,cond-mat.mtrl-sci,Condensed Matter,mtrl sci,
1908.01254,True,Thermodynamic Instabilities of Generalized Exotic BTZ Black Holes,gr-qc,gr-qc,gr-qc,,
1908.01434,False,,,,,,not found in API response
1908.01505,False,,,,,,not found in API response
1612.00053,False,,,,,,not found in API response
1612.00217,True,Orbital periods and component masses of three double white dwarfs,astro-ph.SR,astro-ph.SR,Astrophysics,SR,
1612.00231,False,,,,,,not found in API response
1612.00257,False,,,,,,not found in API response
1612.00288,False,,,,,,not found in API response
1612.00392,True,Thermal Effects in Dislocation Theory II: Shear Banding and Yielding Transitions,cond-mat.mtrl-sci,cond-mat.mtrl-sci;cond-mat.stat-mech,Condensed Matter,mtrl sci,
1612.00446,False,,,,,,not found in API response
1612.00463,False,,,,,,not found in API response
1612.00522,False,,,,,,not found in API response
1612.00629,True,Steady-state generation of negative-Wigner-function light using feedback,quant-ph,quant-ph;cond-mat.quant-gas,Quantum Physics,,
1510.00210,True,The distinctions between the electrical conductivities under non-contact and contact current excitation in spin-split two-dimensional conductors,cond-mat.mes-hall,cond-mat.mes-hall,Condensed Matter,Mesoscale and Nanoscale Physics,
1510.00400,False,,,,,,not found in API response
1510.00417,False,,,,,,not found in API response
1510.00543,False,,,,,,not found in API response
1510.00670,True,Phase-locking at low-level of quanta,quant-ph,quant-ph;cond-mat.other,Quantum Physics,,
1510.00710,True,Natural Relaxation,hep-ph,hep-ph;hep-th,High Energy Physics - Phenomenology,,
1510.00716,False,,,,,,not found in API response
1510.00770,False,,,,,,not found in API response
1510.01138,True,The Coulomb potential V(r)=1/r and other radial problems on the Bethe lattice,cond-mat.stat-mech,cond-mat.stat-mech;cond-mat.dis-nn;math-ph,Condensed Matter,stat mech,
1510.01448,False,,,,,,not found in API response
1409.0010,False,,,,,,not found in API response
1409.0082,True,Role of axion electrodynamics in Weyl metal: Violation of Wiedemann-Franz law,cond-mat.str-el,cond-mat.str-el,Condensed Matter,str el,
1409.0094,False,,,,,,not found in API response
1409.0101,True,Influence of thermal environment on optimal working conditions of thermoelectric generators,cond-mat.other,cond-mat.other,Condensed Matter,other,
1409.0104,True,Marginalizing over the PageRank Damping Factor,cs.IR,cs.IR,Computer Science,IR,
1409.0110,False,,,,,,not found in API response
1409.0188,False,,,,,,not found in API response
1409.0220,False,,,,,,not found in API response
1409.0380,False,,,,,,not found in API response
1409.0466,True,Evidence for the concurrent growth of thick discs and central mass concentrations from S$^4$G imaging,astro-ph.GA,astro-ph.GA,Astrophysics,GA,
astro-ph/9211002,True,Detection of brown dwarfs by the micro-lensing of unresolved stars,astro-ph,astro-ph,Astrophysics,,
astro-ph/9211005,True,Centri`fugal' Force around a Black Hole,astro-ph,astro-ph,Astrophysics,,
cond-mat/9211006,False,,,,,,not found in API response
hep-lat/9211009,True,"The confined-deconfined interface tension, wetting, and the spectrum of the transfer matrix",hep-lat,hep-lat,hep-lat,,
hep-ph/9211257,False,,,,,,not found in API response
physics/9704005,False,,,,,,not found in API response
physics/9704022,True,A Simple Model for Predicting Sprint Race Times Accounting for Energy Loss on the Curve,physics.pop-ph,physics.pop-ph,Physics,Popular Physics,
quant-ph/9704026,True,Substituting Quantum Entanglement for Communication,quant-ph,quant-ph,Quantum Physics,,
cond-mat/9704033,True,On Critical Velocities in Exciton Superfluidity,cond-mat,cond-mat,Condensed Matter,,
cond-mat/9704044,True,NMR lineshape in Metallic Nanoparticles: a Matrix Continued Fraction evaluation,cond-mat.mes-hall,cond-mat.mes-hall,Condensed Matter,Mesoscale and Nanoscale Physics,
cond-mat/9704058,True,Classical Advection of Guiding Centers in a Random Magnetic Field,cond-mat.dis-nn,cond-mat.dis-nn,Condensed Matter,dis nn,
cond-mat/9704091,True,Scaling theory of two-dimensional metal-insulator transitions,cond-mat.dis-nn,cond-mat.dis-nn;cond-mat.str-el,Condensed Matter,dis nn,
cond-mat/9704179,True,On micro-bead mechanics with actin filaments,cond-mat.soft,cond-mat.soft,Condensed Matter,soft,
